0, 0, 0
11, 11, 3
23, 23, 7
34, 34, 10
46, 46, 14
57, 57, 17
69, 69, 21
80, 80, 24
92, 92, 28
103, 103, 31
115, 115, 35
126, 126, 38
138, 138, 42
149, 149, 45
161, 161, 49
172, 172, 52
184, 184, 56
195, 195, 59
207, 207, 63
218, 218, 66
230, 230, 70
241, 241, 73
253, 253, 77
264, 264, 80
276, 276, 84
287, 287, 87
299, 299, 91
310, 310, 94
322, 322, 98
333, 333, 101
345, 345, 105
356, 356, 108
368, 368, 112
380, 380, 115
391, 391, 119
403, 403, 122
414, 414, 126
426, 426, 129
437, 437, 133
449, 449, 136
460, 460, 140
472, 472, 143
483, 483, 147
495, 495, 150
506, 506, 154
518, 518, 157
529, 529, 161
541, 541, 164
552, 552, 168
564, 564, 171
575, 575, 175
587, 587, 178
598, 598, 182
610, 610, 185
621, 621, 189
633, 633, 192
644, 644, 196
656, 656, 199
667, 667, 203
679, 679, 206
690, 690, 210
702, 702, 213
713, 713, 217
725, 725, 220
737, 737, 224
748, 748, 227
760, 760, 231
771, 771, 234
783, 783, 238
794, 794, 241
806, 806, 245
817, 817, 248
829, 829, 252
840, 840, 255
852, 852, 259
863, 863, 262
875, 875, 266
886, 886, 269
898, 898, 273
909, 909, 276
920, 921, 280
932, 932, 283
943, 944, 287
955, 955, 290
966, 966, 294
978, 978, 297
989, 989, 301
1001, 1001, 304
1012, 1012, 308
1024, 1024, 311
1035, 1035, 315
1047, 1047, 318
1058, 1058, 322
1070, 1070, 325
1081, 1081, 329
1093, 1093, 332
1104, 1104, 336
1116, 1116, 339
1127, 1127, 343
1139, 1139, 346
1150, 1150, 350
1162, 1162, 353
1173, 1173, 357
1185, 1185, 360
1196, 1196, 364
1208, 1208, 367
1219, 1219, 371
1231, 1231, 374
1242, 1242, 378
1254, 1254, 381
1265, 1265, 385
1277, 1277, 388
1288, 1288, 392
1300, 1300, 395
1311, 1311, 399
1323, 1323, 402
1334, 1334, 406
1346, 1346, 409
1357, 1357, 413
1369, 1369, 416
1380, 1380, 420
1392, 1392, 423
1403, 1403, 427
1415, 1415, 430
1426, 1426, 434
1438, 1438, 437
1449, 1449, 441
1461, 1461, 444
1473, 1473, 448
1484, 1484, 452
1496, 1496, 457
1508, 1508, 464
1521, 1520, 471
1533, 1532, 480
1546, 1544, 490
1559, 1557, 501
1572, 1569, 514
1585, 1582, 527
1599, 1594, 541
1612, 1607, 556
1626, 1620, 572
1640, 1633, 589
1654, 1646, 607
1669, 1660, 625
1683, 1673, 645
1698, 1687, 665
1713, 1700, 686
1727, 1714, 707
1742, 1727, 729
1758, 1741, 752
1773, 1755, 776
1788, 1769, 799
1803, 1783, 824
1819, 1797, 849
1835, 1811, 874
1850, 1826, 900
1866, 1840, 926
1882, 1854, 953
1898, 1869, 980
1914, 1883, 1007
1930, 1898, 1035
1946, 1912, 1062
1962, 1927, 1090
1978, 1941, 1118
1994, 1956, 1147
2010, 1971, 1175
2026, 1985, 1203
2043, 2000, 1232
2059, 2015, 1260
2075, 2030, 1289
2091, 2045, 1317
2107, 2059, 1345
2123, 2074, 1373
2140, 2089, 1401
2156, 2104, 1429
2172, 2119, 1456
2188, 2134, 1484
2204, 2149, 1511
2220, 2163, 1537
2235, 2178, 1564
2251, 2193, 1589
2267, 2208, 1615
2283, 2223, 1640
2298, 2238, 1664
2314, 2252, 1688
2329, 2267, 1712
2344, 2282, 1735
2359, 2297, 1757
2375, 2311, 1778
2389, 2326, 1799
2404, 2340, 1819
2419, 2355, 1839
2434, 2370, 1858
2448, 2384, 1876
2462, 2398, 1894
2476, 2413, 1912
2490, 2427, 1930
2504, 2441, 1948
2518, 2455, 1966
2532, 2470, 1984
2546, 2484, 2002
2559, 2498, 2020
2573, 2512, 2038
2586, 2526, 2056
2600, 2540, 2073
2613, 2554, 2091
2626, 2568, 2109
2640, 2582, 2127
2653, 2596, 2145
2666, 2610, 2162
2679, 2624, 2180
2692, 2638, 2198
2705, 2652, 2215
2718, 2666, 2233
2731, 2680, 2251
2744, 2694, 2269
2757, 2708, 2286
2770, 2722, 2304
2783, 2736, 2322
2796, 2750, 2339
2809, 2764, 2357
2822, 2779, 2375
2835, 2793, 2392
2849, 2807, 2410
2862, 2822, 2428
2875, 2836, 2445
2888, 2851, 2463
2901, 2865, 2481
2915, 2880, 2499
2928, 2894, 2516
2941, 2909, 2534
2955, 2924, 2552
2969, 2939, 2570
2982, 2954, 2588
2996, 2969, 2606
3010, 2984, 2624
3024, 2999, 2642
3038, 3015, 2660
3052, 3030, 2678
3066, 3046, 2696
3081, 3062, 2714
3095, 3077, 2732
3110, 3093, 2750
3125, 3109, 2768
3139, 3126, 2787
3154, 3142, 2805
3170, 3158, 2823
3185, 3175, 2842
3200, 3192, 2860
3216, 3208, 2879
3232, 3225, 2898
3248, 3242, 2916
3264, 3260, 2935
3280, 3277, 2954
3297, 3295, 2973
3314, 3313, 2992
3331, 3331, 3011
3348, 3349, 3030
3365, 3367, 3049
3382, 3385, 3068
3399, 3403, 3087
3416, 3421, 3106
3433, 3439, 3125
3450, 3457, 3144
3467, 3475, 3163
3484, 3493, 3182
3501, 3511, 3201
3518, 3529, 3220
3535, 3547, 3239
3552, 3565, 3258
3569, 3583, 3277
3586, 3601, 3296
3603, 3619, 3315
3620, 3637, 3334
3637, 3655, 3353
3654, 3673, 3372
3671, 3691, 3391
3688, 3709, 3410
3705, 3727, 3429
3722, 3745, 3448
3739, 3763, 3467
3756, 3781, 3486
3773, 3799, 3505
3790, 3817, 3524
3807, 3835, 3543
3824, 3853, 3562
3841, 3871, 3581
3858, 3889, 3600
3875, 3907, 3619
3892, 3925, 3638
3909, 3943, 3657
3926, 3961, 3676
3943, 3979, 3695
3960, 3997, 3714
3977, 4015, 3733
3994, 4033, 3752
4011, 4051, 3771
4028, 4069, 3790
4045, 4087, 3809
